"Sr No.","Id","Title","Description","Availability","Condition","Price","Link","Image Link","Brand","Google Product Category","FB Product Category","Quantity To Sell On Facebook","Sale Price","Sale Price Effective_Date","Item Group Id","Gender","Color","Size","Age_Group","Material","Pattern","Shipping","Shipping Weight","Offer Disclaimer","Offer Disclaimer Url","Video Url","Video Tag","GTIN","Product Pages","Product Tags","Style"
"99","DR06651","Ikkat Embroidered Maxi Ethnic Dress","Ikkat Embroidered Maxi Ethnic Dress","Yes","Yes","1829INR","https://vasvi.in/DR06651/ikkat-embroidered-maxi-ethnic-dress-69215b4ddc3a3","https://vasvi.in/uploads/settings/FEB2026/1770814794-settings.png","VASVI","Factory Outlet","Factory Outlet","50","1829INR","","JJ-10175","unisex","","","","","","","250 grm","","","","","","","",""
"100","MS3047","Men Classic Spread Collar Floral Printed Cotton Slim Fit Casual Shirt","Men Classic Spread Collar Floral Printed Cotton Slim Fit Casual Shirt","Yes","No","999INR","https://vasvi.in/MS3047/men-classic-spread-collar-floral-printed-cotton-slim-fit-casual-shirt-699d770d9d197","https://vasvi.in/uploads/products/variant_3_68b1d8e6df6c0.jpg","VASVI","Mens","Mens","-41374","999INR","","JJ-10178","unisex","","","","","","","250 grm","","","","","","","",""
"101","MS5560Black","Men Classic Spread Collar Floral Printed Cotton Slim Fit Casual Shirt","Men Classic Spread Collar Floral Printed Cotton Slim Fit Casual Shirt","Yes","No","799INR","https://vasvi.in/MS5560Black/men-classic-spread-collar-floral-printed-cotton-slim-fit-casual-shirt-699950c7a9709","https://vasvi.in/uploads/products/variant_1_68b1daf0eaeeb.jpg","VASVI","Mens","Mens","48","799INR","","JJ-10179","unisex","","","","","","","250 grm","","","","","","","",""
"102","CO6002","Cotton Printed Halter Neck Sleeveless Tunic With Palazzos Co-Ords","Cotton Printed Halter Neck Sleeveless Tunic With Palazzos Co-Ords","Yes","No","1245INR","https://vasvi.in/CO6002/cotton-printed-halter-neck-sleeveless-tunic-with-palazzos-co-ords-69995eb86bd22","https://vasvi.in/uploads/products/variant_11_68b8411dd1043.jpg","VASVI","Women","Women","49","1245INR","","JJ-10196","unisex","","","","","","","250 grm","","","","","","","",""
"103","CO6052","Cotton Floral Printed Collared Neck Top with Palazzo Co-Ords","Cotton Floral Printed Collared Neck Top with Palazzo Co-Ords","Yes","Yes","1399INR","https://vasvi.in/CO6052/cotton-floral-printed-collared-neck-top-with-palazzo-co-ords-6901bcd8ba62f","https://vasvi.in/uploads/products/variant_35_68b842327ccf7.jpg","VASVI","Women","Women","43","1399INR","","JJ-10197","unisex","","","","","","","250 grm","","","","","","","",""
"104","BG001","Baby Girl Cotton Party Wear Lahnga Choli","VASVI Baby Girl's Cotton Party Wear Lahnga Choli","Yes","No","1899INR","https://vasvi.in/BG001/baby-girl-cotton-party-wear-lahnga-choli-69a522d903d72","https://vasvi.in/uploads/products/variant_10_69a522d918f01.png","VASVI","Kids","Kids","100","1899INR","","JJ-10210","unisex","","","","","","","0.390 grm","","","","","","","",""
"105","BB001","Baby Boy Cotton Kurta Payjama With Jacket Set","VASVI Baby Boy Cotton Kurta Payjama With Jacket Set","Yes","No","1999INR","https://vasvi.in/BB001/baby-boy-cotton-kurta-payjama-with-jacket-set-69a97b0c07940","https://vasvi.in/uploads/products/variant_15_69a97b0c19cf5.png","VASVI","Kids","Kids","99","1999INR","","JJ-10211","unisex","","","","","","","0.490 grm","","","","","","","",""
"106","BB002","Baby Boy Cotton Kurta Payjama With Jacket Set","VASVI Baby Boy Cotton Kurta Payjama With Jacket Set","Yes","No","1999INR","https://vasvi.in/BB002/baby-boy-cotton-kurta-payjama-with-jacket-set-69aa8a2785f7b","https://vasvi.in/uploads/products/variant_4_69aa8826399d4.png","VASVI","Kids","Kids","100","1999INR","","JJ-10212","unisex","","","","","","","0.490 grm","","","","","","","",""
"107","BB003","Baby Boy Cotton Kurta Payjama With Jacket Set","VASVI Baby Boy Cotton Kurta Payjama With Jacket Set","Yes","No","1999INR","https://vasvi.in/BB003/baby-boy-cotton-kurta-payjama-with-jacket-set-69aa8957077d2","https://vasvi.in/uploads/products/variant_43_69aa893296d10.png","VASVI","Kids","Kids","100","1999INR","","JJ-10213","unisex","","","","","","","0.490 grm","","","","","","","",""
"108","BB004","Baby Boy Cotton Kurta Payjama With Jacket Set","VASVI Baby Boy Cotton Kurta Payjama With Jacket Set","Yes","No","1999INR","https://vasvi.in/BB004/baby-boy-cotton-kurta-payjama-with-jacket-set-69aa89a028eda","https://vasvi.in/uploads/products/variant_11_69aa89a038c46.png","VASVI","Kids","Kids","99","1999INR","","JJ-10214","unisex","","","","","","","0.490 grm","","","","","","","",""
